电影名,评分,评价人数,链接,时间,演员,imdb_link
007之择日而亡,7.1,26876.0,https://movie.douban.com/subject/1303773/,2002-11-22 00:00:00,"['皮尔斯·布鲁斯南', '哈莉·贝瑞', '托比·斯蒂芬斯', '裴淳华', '尹成植']",http://www.imdb.com/title/tt0246460
007之明日帝国,7.2,24367.0,https://movie.douban.com/subject/1299247/,1997-12-09(伦敦首映),"['1997-12-12(英国)', '1997-12-19(美国)', '皮尔斯·布鲁斯南', '",http://www.imdb.com/title/tt0120347
007之黄金眼,7.5,25002.0,https://movie.douban.com/subject/1292677/,1995-11-17 00:00:00,"['皮尔斯·布鲁斯南', '肖恩·宾', '伊沙贝拉·斯科鲁普科', '法米克·詹森', '乔·唐·",http://www.imdb.com/title/tt0113189
007之黑日危机,7.3,24736.0,https://movie.douban.com/subject/1293174/,1999-11-19(美国),"['1999-11-26(英国)', '皮尔斯·布鲁斯南', '苏菲·玛索', '罗伯特·卡莱尔',",http://www.imdb.com/title/tt0143145
007：大战皇家赌场,7.4,86365.0,https://movie.douban.com/subject/1418190/,2006-11-16(英国),"['2006-11-17(美国)', '2007-01-30(中国大陆)', '丹尼尔·克雷格', ",http://www.imdb.com/title/tt0381061
007：大破天幕杀机,6.9,163698.0,https://movie.douban.com/subject/2363876/,2012-10-26(英国),"['2012-11-09(美国)', '2013-01-21(中国大陆)', '丹尼尔·克雷格', ",http://www.imdb.com/title/tt1074638
007：大破量子危机,6.4,63348.0,https://movie.douban.com/subject/1946882/,2008-10-31(英国),"['2008-11-05(中国大陆)', '2008-11-14(美国)', '丹尼尔·克雷格', ",http://www.imdb.com/title/tt0830515
007：幽灵党,6.2,107794.0,https://movie.douban.com/subject/11620560/,2015-10-26(英国),"['2015-11-06(美国)', '2015-11-13(中国大陆)', '丹尼尔·克雷格', ",http://www.imdb.com/title/tt2379713
101斑点狗,7.9,22590.0,https://movie.douban.com/subject/1298204/,1961-1-25(美国),"['罗德·泰勒', 'J·帕特·奥马利', 'Betty Lou Gerson', 'Martha ",http://www.imdb.com/title/tt0055254
101次求婚,5.7,119650.0,https://movie.douban.com/subject/5319835/,2013-02-12(中国大陆),"['2013-03-22(台湾)', '黄渤', '林志玲', '高以翔', '秦海璐']",http://www.imdb.com/title/tt1674766
101真狗,7.3,67887.0,https://movie.douban.com/subject/1293135/,1996-11-27(美国),"['格伦·克洛斯', '杰夫·丹尼尔斯', '乔莉·理查德森', '琼·普莱怀特', '休·劳瑞']",http://www.imdb.com/title/tt0115433
0.4680555555555555,7.6,22718.0,https://movie.douban.com/subject/1394825/,2003-05-16(戛纳电影节),"['亨利·托马斯', '布莱克·赫伦', '芭芭拉·赫希', '克拉克·格雷格', '希拉里·斯万克",http://www.imdb.com/title/tt0331811
11度青春之《哎》,7.3,12468.0,https://movie.douban.com/subject/5265166/,2010-08-26 00:00:00,"['徐韬', '冯丹滢', '中国大陆', '尹丽川 ', '短片']",
11度青春之《老男孩》,8.5,203423.0,https://movie.douban.com/subject/5344178/,2010-10-28 00:00:00,"['肖央', '王太利', '韩秋池', '于蓓蓓', '张末']",
127小时,8.1,83371.0,https://movie.douban.com/subject/4164444/,2010-11-05(美国),"['詹姆斯·弗兰科', '丽兹·卡潘', '凯特·玛拉', '爱波·塔布琳', '克蕾曼丝·波西']",http://www.imdb.com/title/tt1542344
12怒汉：大审判,8.5,22384.0,https://movie.douban.com/subject/2027899/,2007-09-20(俄罗斯),"['谢尔盖·马科韦茨基', '尼基塔·米哈尔科夫', '谢尔盖·加尔马什', '瓦连京·佳夫特', ",http://www.imdb.com/title/tt0488478
12金鸭,5.2,13795.0,https://movie.douban.com/subject/26271893/,2015-02-19(香港),"['吴君如', '古天乐', '刘浩龙', '黄秋生', '周柏豪 ']",http://www.imdb.com/title/tt4409852
15名动画人,8.7,19151.0,https://movie.douban.com/subject/3240828/,2007-05-07(日本),"['寺崎裕香', '中川玲', '前田剛', '日本', 'www.nhk.or.jp/ani-ku",http://www.imdb.com/title/tt2171086
1公升的泪,8.9,64887.0,https://movie.douban.com/subject/1436900/,2005-10-11(日本),"['泽尻英龙华', '锦户亮', '药师丸博子', '藤木直人', '阵内孝则']",http://www.imdb.com/title/tt1370332
2001太空漫游,8.6,77318.0,https://movie.douban.com/subject/1292226/,1968-04-02(华盛顿首映),"['1968-05-15(英国)', '凯尔·杜拉', '加里·洛克伍德', '威廉姆·西尔维斯特'",http://www.imdb.com/title/tt0062622
2008年第29届北京奥运会开幕式,8.8,22847.0,https://movie.douban.com/subject/3173528/,2008-08-08(中国大陆),"['蒂姆·达格特', 'Elfi Schlegel', 'Al Trautwig', '中国大陆',",http://www.imdb.com/title/tt1522814
2012,7.7,264738.0,https://movie.douban.com/subject/3005875/,2009-11-13(中国大陆/美国),"['2012-11-20(中国大陆 3D)', '约翰·库萨克', '切瓦特·埃加福特', '阿曼达",http://www.imdb.com/title/tt1190080
2012喜上加喜,6.1,12946.0,https://movie.douban.com/subject/7161707/,2012-01-20(香港),"['2012-06-15(中国大陆)', '曾志伟', '毛舜筠', '黄宗泽', '何韵诗']",http://www.imdb.com/title/tt2317379
2016年中央电视台春节联欢晚会,2.3,19497.0,https://movie.douban.com/subject/26613473/,2016-02-07(中国大陆),"['朱军', '周涛', '董卿', '撒贝宁', '尼格买提·热合曼']",http://www.imdb.com/title/tt5442712
203040,7.2,41913.0,https://movie.douban.com/subject/1310174/,2004-03-11 00:00:00,"['张艾嘉', '刘若英', '李心洁', '梁家辉', '黄秋生']",http://www.imdb.com/title/tt0397229
2046,7.4,111799.0,https://movie.douban.com/subject/1291555/,2004-05-20(戛纳电影节),"['2004-09-28(中国大陆)', '2004-09-29(香港)', '梁朝伟', '章子怡",http://www.imdb.com/title/tt0212712
24小时第一季,8.7,20405.0,https://movie.douban.com/subject/1298854/,2001-11-06(美国),"['基弗·萨瑟兰', '卡洛斯·博纳德', '伊丽莎·库斯伯特', '丹尼斯·海斯伯特', '莱斯利",http://www.imdb.com/title/tt0285331
27套礼服,6.7,55247.0,https://movie.douban.com/subject/2132120/,2008-01-18(美国),"['凯瑟琳·海格尔', '詹姆斯·麦斯登', '爱德华·伯恩斯', '玛琳·阿克曼', '朱迪·格雷",http://www.imdb.com/title/tt0988595
28岁未成年,6,12756.0,https://movie.douban.com/subject/26658568/,2016-12-09(中国大陆),"['倪妮', '霍建华', '马苏', '王大陆', '潘斌龙']",http://www.imdb.com/title/tt5665040
300勇士：帝国崛起,6.1,24916.0,https://movie.douban.com/subject/3148089/,2014-03-05(阿根廷首映),"['2014-03-07(美国)', '沙利文·斯特普尔顿', '罗德里格·桑托罗', '伊娃·格林",http://www.imdb.com/title/tt1253863
42号传奇,7.9,10411.0,https://movie.douban.com/subject/2133379/,2013-04-12(美国),"['哈里森·福特', '艾伦·图代克', '克里斯托弗·米洛尼', '约翰·C·麦金雷', '卢卡斯",http://www.imdb.com/title/tt0453562
45周年,7.7,19180.0,https://movie.douban.com/subject/25839662/,2015-02-06(柏林电影节),"['2015-08-28(英国)', '夏洛特·兰普林', '多莉·韦尔斯', '汤姆·康特奈', ",http://www.imdb.com/title/tt3544082
49日,8.1,18950.0,https://movie.douban.com/subject/5908482/,2011-03-16(韩国),"['丁一宇', '南奎丽', '赵显宰', '李瑶媛', '裴秀彬']",http://www.imdb.com/title/tt1935066
5月天诺亚方舟,8.2,16031.0,https://movie.douban.com/subject/24891524/,2013-09-19(中国大陆),"['陈信宏', '刘冠佑', '言承旭', '林依晨', '林晖闵']",http://www.imdb.com/title/tt3263052
72家租客,6.7,62706.0,https://movie.douban.com/subject/4062922/,2010-02-11 00:00:00,"['张学友', '曾志伟', '袁咏仪', '黄宗泽', '邓丽欣']",http://www.imdb.com/title/tt1602474
7号房的礼物,8.6,141486.0,https://movie.douban.com/subject/10777687/,2013-01-23(韩国),"['柳承龙', '朴信惠', '郑镇荣', '金正泰', '吴达洙']",http://www.imdb.com/title/tt2659414
80'后,7,64023.0,https://movie.douban.com/subject/4036000/,2010-06-25 00:00:00,"['刘冬', '黄明', '伊娜', '陶帅', '铁政']",http://www.imdb.com/title/tt1538533
88分钟,6.5,14417.0,https://movie.douban.com/subject/1754927/,2007-03-01(以色列),"['2007-04-13(罗马尼亚)', '2007-05-30(法国)', '阿尔·帕西诺', '",http://www.imdb.com/title/tt0411061
8英里,8,39317.0,https://movie.douban.com/subject/1307853/,2002-11-08(美国),"['埃米纳姆', '金·贝辛格', '梅奇·费法', '布莱特妮·墨菲', '伊万·琼斯']",http://www.imdb.com/title/tt0298203
92黑玫瑰对黑玫瑰,7.4,12452.0,https://movie.douban.com/subject/1299135/,1992-07-02 00:00:00,"['梁家辉', '邵美琪', '毛舜筠', '冯宝宝', '黄韵诗']",http://www.imdb.com/title/tt0103602
93航班,7.7,17407.0,https://movie.douban.com/subject/1588945/,2006-04-28(美国),"['J.J. Johnson', 'Gary Commock', 'Polly Adams', 'O",http://www.imdb.com/title/tt0475276
97古惑仔战无不胜,7.4,32305.0,https://movie.douban.com/subject/1293265/,1997-03-28 00:00:00,"['郑伊健', '陈小春', '李嘉欣', '莫文蔚', '万梓良']",http://www.imdb.com/title/tt0128907
97家有喜事,7.4,39243.0,https://movie.douban.com/subject/1305197/,1997-02-06(香港),"['周星驰', '黄百鸣', '吴镇宇', '乔宏', '伍咏薇']",http://www.imdb.com/title/tt0118591
98古惑仔之龙争虎斗,7.2,27326.0,https://movie.douban.com/subject/1308290/,1998-01-22(香港),"['郑伊健', '舒淇', '郑浩南', '钱嘉乐', '秦沛']",http://www.imdb.com/title/tt0163511
99.9：刑事专业律师,7.9,11002.0,https://movie.douban.com/subject/26725184/,2016-04-17(日本),"['松本润', '香川照之', '荣仓奈奈', '青木崇高', '片桐仁']",http://www.imdb.com/title/tt5487318
9号秘事第一季,8.8,26339.0,https://movie.douban.com/subject/20452350/,2014-02-05(英国),"['里斯·谢尔史密斯', '史蒂夫·佩姆伯顿', '露西·卡瓦利耶罗', '艾咪费欧‧爱德华兹', ",http://www.imdb.com/title/tt2674806
9号秘事第二季,8.8,12002.0,https://movie.douban.com/subject/26341777/,2015-03-26(英国),"['马克·本顿', '杰克·怀特霍尔', '史蒂夫·佩姆伯顿', '里斯·谢尔史密斯', '吉姆·霍",http://www.imdb.com/title/tt4513394
A计划,7.6,50562.0,https://movie.douban.com/subject/1297909/,1983-12-22(香港),"['成龙', '洪金宝', '元彪', '黄曼凝', '狄威']",http://www.imdb.com/title/tt0085127
A计划续集,7.4,25303.0,https://movie.douban.com/subject/1299120/,1987-07-25(日本),"['1987-08-19(香港)', '成龙', '张曼玉', '关之琳', '刘嘉玲']",http://www.imdb.com/title/tt0092501
B+侦探,5.7,23804.0,https://movie.douban.com/subject/4118060/,2011-04-29(中国大陆),"['郭富城', '廖启智', '徐正曦', '龚蓓苾', '张兆辉']",http://www.imdb.com/title/tt1534786
BJ单身日记,7.5,122956.0,https://movie.douban.com/subject/1304585/,2001-04-04(英国),"['蕾妮·泽尔维格', '科林·费尔斯', '休·格兰特', '吉姆·布劳德本特', '雪莉·亨德森",http://www.imdb.com/title/tt0243155
BJ单身日记2：理性边缘,7.3,58707.0,https://movie.douban.com/subject/1308819/,2004-11-12(美国),"['蕾妮·泽尔维格', '科林·费尔斯', '休·格兰特', '吉姆·布劳德本特', '杰茜达·芭瑞",http://www.imdb.com/title/tt0317198
BORDER,8.4,13615.0,https://movie.douban.com/subject/25823110/,2014-04-10(日本),"['小栗旬', '青木崇高', '波瑠', '远藤宪一', '古田新太']",http://www.imdb.com/title/tt3512088
B型男友,6.2,14009.0,https://movie.douban.com/subject/1394520/,2005-02-03(韩国),"['李东健', '韩智慧', '申伊', '白日燮', '郑丽媛']",http://www.imdb.com/title/tt0452972
C+侦探,6.5,19958.0,https://movie.douban.com/subject/2263112/,2007-09-25(香港),"['郭富城', '廖启智', '黄德斌', '刘兆铭', '黎耀祥']",http://www.imdb.com/title/tt1107807
Doctor异乡人,7.2,28511.0,https://movie.douban.com/subject/25792670/,2014-05-05(韩国),"['李钟硕', '陈世妍', '朴海镇', '姜素拉', '张亮']",http://www.imdb.com/title/tt3693414
Dr.伦太郎,7.7,16348.0,https://movie.douban.com/subject/26314383/,2015-04-15(日本),"['堺雅人', '苍井优', '吉濑美智子', '内田有纪', '高梨临']",http://www.imdb.com/title/tt4402162
E.T.外星人,8.5,133598.0,https://movie.douban.com/subject/1294638/,1982-06-11(美国),"['1982-05-26(戛纳电影节)', '亨利·托马斯', '迪·沃伦斯', '罗伯特·麦克纳夫",http://www.imdb.com/title/tt0083866
FirstClass,6.5,19836.0,https://movie.douban.com/subject/25842009/,2014-04-19(日本),"['泽尻英龙华', '中丸雄一', '佐佐木希', '菜菜绪', '平山浩行']",http://www.imdb.com/title/tt3585276
Free!,7.7,13105.0,https://movie.douban.com/subject/24381366/,2013-07-04(日本),"['岛崎信长', '铃木达央', '平川大辅', '宫野真守', '代永翼']",http://www.imdb.com/title/tt2904418
GO!大暴走,8.2,13283.0,https://movie.douban.com/subject/1307176/,2001-10-20(日本),"['洼冢洋介', '柴崎幸', '细山田隆人', '山本太郎', '新井浩文']",http://www.imdb.com/title/tt0299937
Hello！树先生,7.1,40852.0,https://movie.douban.com/subject/4135710/,2011-11-04(中国大陆),"['王宝强', '谭卓', '何洁', '中国大陆', '韩杰']",http://www.imdb.com/title/tt2043878
HOLD住爱,3.4,16383.0,https://movie.douban.com/subject/10539139/,2012-08-23(中国大陆),"['杨幂', '刘恺威', '周秀娜', '王景春', '吴岱融']",http://www.imdb.com/title/tt2457206
IRIS,8,16894.0,https://movie.douban.com/subject/3619100/,2009-10-14 00:00:00,"['李秉宪', '金泰熙', '崔胜铉', '金素妍', '郑俊浩']",http://www.imdb.com/title/tt1757202
IT狂人特别篇,9.2,14417.0,https://movie.douban.com/subject/20453087/,2013-09-27(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '英国', '格雷厄姆·莱恩汉",http://www.imdb.com/title/tt3221116
IT狂人第一季,8.9,47040.0,https://movie.douban.com/subject/1758810/,2006-02-03(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '克里斯多夫·莫利斯', '英",http://www.imdb.com/title/tt0487831
IT狂人第三季,9.3,25012.0,https://movie.douban.com/subject/3345619/,2008-11-21(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '马特·贝里', '英国']",http://www.imdb.com/title/tt1321272
IT狂人第二季,9.3,29364.0,https://movie.douban.com/subject/3570688/,2007-08-24(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '英国', 'www.chan",http://www.imdb.com/title/tt0849997
IT狂人第四季,9.3,24863.0,https://movie.douban.com/subject/4850563/,2010-06-25(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '英国', 'www.chan",http://www.imdb.com/title/tt1650327
