index,电影名,评分,评价人数,链接,时间,演员,imdb_link
0,007之择日而亡,7.1,26876.0,https://movie.douban.com/subject/1303773/,2002-11-22 00:00:00,"['皮尔斯·布鲁斯南', '哈莉·贝瑞', '托比·斯蒂芬斯', '裴淳华', '尹成植']",http://www.imdb.com/title/tt0246460
1,007之明日帝国,7.2,24367.0,https://movie.douban.com/subject/1299247/,1997-12-09(伦敦首映),"['1997-12-12(英国)', '1997-12-19(美国)', '皮尔斯·布鲁斯南', '",http://www.imdb.com/title/tt0120347
2,007之黄金眼,7.5,25002.0,https://movie.douban.com/subject/1292677/,1995-11-17 00:00:00,"['皮尔斯·布鲁斯南', '肖恩·宾', '伊沙贝拉·斯科鲁普科', '法米克·詹森', '乔·唐·",http://www.imdb.com/title/tt0113189
3,007之黑日危机,7.3,24736.0,https://movie.douban.com/subject/1293174/,1999-11-19(美国),"['1999-11-26(英国)', '皮尔斯·布鲁斯南', '苏菲·玛索', '罗伯特·卡莱尔',",http://www.imdb.com/title/tt0143145
4,007：大战皇家赌场,7.4,86365.0,https://movie.douban.com/subject/1418190/,2006-11-16(英国),"['2006-11-17(美国)', '2007-01-30(中国大陆)', '丹尼尔·克雷格', ",http://www.imdb.com/title/tt0381061
5,007：大破天幕杀机,6.9,163698.0,https://movie.douban.com/subject/2363876/,2012-10-26(英国),"['2012-11-09(美国)', '2013-01-21(中国大陆)', '丹尼尔·克雷格', ",http://www.imdb.com/title/tt1074638
6,007：大破量子危机,6.4,63348.0,https://movie.douban.com/subject/1946882/,2008-10-31(英国),"['2008-11-05(中国大陆)', '2008-11-14(美国)', '丹尼尔·克雷格', ",http://www.imdb.com/title/tt0830515
7,007：幽灵党,6.2,107794.0,https://movie.douban.com/subject/11620560/,2015-10-26(英国),"['2015-11-06(美国)', '2015-11-13(中国大陆)', '丹尼尔·克雷格', ",http://www.imdb.com/title/tt2379713
8,101斑点狗,7.9,22590.0,https://movie.douban.com/subject/1298204/,1961-1-25(美国),"['罗德·泰勒', 'J·帕特·奥马利', 'Betty Lou Gerson', 'Martha ",http://www.imdb.com/title/tt0055254
9,101次求婚,5.7,119650.0,https://movie.douban.com/subject/5319835/,2013-02-12(中国大陆),"['2013-03-22(台湾)', '黄渤', '林志玲', '高以翔', '秦海璐']",http://www.imdb.com/title/tt1674766
10,101真狗,7.3,67887.0,https://movie.douban.com/subject/1293135/,1996-11-27(美国),"['格伦·克洛斯', '杰夫·丹尼尔斯', '乔莉·理查德森', '琼·普莱怀特', '休·劳瑞']",http://www.imdb.com/title/tt0115433
11,0.4680555555555555,7.6,22718.0,https://movie.douban.com/subject/1394825/,2003-05-16(戛纳电影节),"['亨利·托马斯', '布莱克·赫伦', '芭芭拉·赫希', '克拉克·格雷格', '希拉里·斯万克",http://www.imdb.com/title/tt0331811
12,11度青春之《哎》,7.3,12468.0,https://movie.douban.com/subject/5265166/,2010-08-26 00:00:00,"['徐韬', '冯丹滢', '中国大陆', '尹丽川 ', '短片']",
13,11度青春之《老男孩》,8.5,203423.0,https://movie.douban.com/subject/5344178/,2010-10-28 00:00:00,"['肖央', '王太利', '韩秋池', '于蓓蓓', '张末']",
14,127小时,8.1,83371.0,https://movie.douban.com/subject/4164444/,2010-11-05(美国),"['詹姆斯·弗兰科', '丽兹·卡潘', '凯特·玛拉', '爱波·塔布琳', '克蕾曼丝·波西']",http://www.imdb.com/title/tt1542344
15,12怒汉：大审判,8.5,22384.0,https://movie.douban.com/subject/2027899/,2007-09-20(俄罗斯),"['谢尔盖·马科韦茨基', '尼基塔·米哈尔科夫', '谢尔盖·加尔马什', '瓦连京·佳夫特', ",http://www.imdb.com/title/tt0488478
16,12金鸭,5.2,13795.0,https://movie.douban.com/subject/26271893/,2015-02-19(香港),"['吴君如', '古天乐', '刘浩龙', '黄秋生', '周柏豪 ']",http://www.imdb.com/title/tt4409852
17,15名动画人,8.7,19151.0,https://movie.douban.com/subject/3240828/,2007-05-07(日本),"['寺崎裕香', '中川玲', '前田剛', '日本', 'www.nhk.or.jp/ani-ku",http://www.imdb.com/title/tt2171086
18,1公升的泪,8.9,64887.0,https://movie.douban.com/subject/1436900/,2005-10-11(日本),"['泽尻英龙华', '锦户亮', '药师丸博子', '藤木直人', '阵内孝则']",http://www.imdb.com/title/tt1370332
