genres,name,rating,ratingCount,imdb_link,评价人数_更新,评分_更新,index,电影名,评分,评价人数,链接,时间,演员
Documentary History,The Black Power Mixtape 1967-1975  ,7.5,1532,http://www.imdb.com/title/tt1592527,23,8.6,113,1967-1975黑权运动呐声集,(评价人数不足),,https://movie.douban.com/subject/5973065/,美国,"['瑞典', 'blackpowermixtape.com', 'Göran Olsson', '1"
Action Horror Sci-Fi,2019: After the Fall of New York  ,5.7,2058,http://www.imdb.com/title/tt0085125,39,6.4,153,2019：纽约陷落之后,(评价人数不足),,https://movie.douban.com/subject/2131439/,Michael Sopkiw,"['Valentine Monnier', 'Anna Kanakis', 'Romano Pupp"
Action Crime Drama,24: Legacy             ,6.3,7169,http://www.imdb.com/title/tt5345490,1842,6.7,188,24小时：遗产,(尚未上映),,https://movie.douban.com/subject/26709459/,2017-02-05(美国),"['科里·霍金斯', '丹·布卡廷斯基', '安娜·迪奥普', '查理·霍夫赫梅尔', '米兰达·奥"
Drama,3-gatsu no raion zenpen  ,7.0,21,http://www.imdb.com/title/tt5514632,373,7.6,230,3月的狮子前篇,(尚未上映),,https://movie.douban.com/subject/26615511/,2017-03-18(日本),"['神木隆之介', '佐佐木藏之介', '伊藤英明', '加濑亮', '有村架纯']"
Drama,3-gatsu no raion kouhen  ,7.6,9,http://www.imdb.com/title/tt5556068,301,7.6,231,3月的狮子后篇,(尚未上映),,https://movie.douban.com/subject/26748877/,2017-04-22(日本),"['神木隆之介', '佐佐木藏之介', '伊藤英明', '加濑亮', '仓科加奈']"
Documentary,76 Minutes and 15 Seconds with Abbas Kiarostami  ,7.3,76,http://www.imdb.com/title/tt6135424,115,8.0,286,76Minutesand15SecondswithAbbasKiarostami,(评价人数不足),,https://movie.douban.com/subject/26872546/,阿巴斯·基亚罗斯塔米,"['伊朗', 'Seifollah SAMADIAN', '76分钟', '纪录片']"
Animation Short Adventure,850 meters  ,6.5,138,http://www.imdb.com/title/tt2664442,37,7.1,300,850米,(评价人数不足),,https://movie.douban.com/subject/25752450/,比利時 Belgium,"['Joeri Christiaen', '850米', '動畫 Animation']"
Animation Crime Drama,ACCA: 13-ku Kansatsu-ka             ,7.5,87,http://www.imdb.com/title/tt6401396,2773,8.6,345,ACCA13区监察课,(尚未上映),,https://movie.douban.com/subject/26801805/,2017-01-10(日本),"['*', '日本', '夏目真悟', '*', 'ACCA13区监察课']"
,Alan Titchmarsh's Garden Secrets             ,6.6,8,http://www.imdb.com/title/tt1830921,34,8.3,363,Alan的花园秘密,(评价人数不足),,https://movie.douban.com/subject/25823598/,2010-09-09 00:00:00,"['Alan Titchmarsh', '英国', 'Alan Titchmarsh', 'Alan"
Drama,A Life: Itoshiki Hito             ,7.6,51,http://www.imdb.com/title/tt6235440,4401,7.0,368,ALIFE～深爱的你～,(尚未上映),,https://movie.douban.com/subject/26912378/,2017-01,"['木村拓哉', '竹内结子', '松山研一', '木村文乃', '菜菜绪']"
Biography Drama Music,All Eyez on Me  ,6.0,5617,http://www.imdb.com/title/tt1666185,35,6.8,370,AllEyezonMe,(尚未上映),,https://movie.douban.com/subject/5151085/,美国,"['约翰·辛格顿', '传记', '音乐', '史蒂芬·里维尔 Stephen J. Rivele'"
Documentary,Mark Zuckerberg: Inside Facebook  ,5.7,129,http://www.imdb.com/title/tt2265427,44,7.2,434,BBC之马克·扎克伯格,(评价人数不足),,https://movie.douban.com/subject/11639137/,马克·扎克伯格,"['Emily Maitlis', 'Jaron Lanier', 'Sheryl Sandberg"
Comedy Drama Romance,Befikre  ,3.7,5202,http://www.imdb.com/title/tt5108476,347,6.7,509,Befikre,(评价人数不足),,https://movie.douban.com/subject/26772027/,2016-12-09 00:00:00,"['兰维尔·辛格', '瓦妮·卡普尔', '印度', '阿迪提亚·乔普拉', '爱情']"
Drama Romance,Below Her Mouth  ,5.6,2042,http://www.imdb.com/title/tt5073620,3420,5.7,512,BelowHerMouth,(评价人数不足),,https://movie.douban.com/subject/26815983/,2016-9-10(加拿大),"['娜塔莉·科瑞尔', '艾瑞卡·林德', '汤米-安珀·皮里', '伊丽丝·鲍曼 Elise Ba"
Animation Action Drama,Blame!  ,6.8,2309,http://www.imdb.com/title/tt6574146,3106,7.6,535,BLAME！,(尚未上映),,https://movie.douban.com/subject/26670584/,日本,"['www.blame.jp', '濑下宽之', 'BLAME！', '剧情', '科幻']"
Adventure Comedy Romance,The Adventures of Buckaroo Banzai Across the 8th Dimension  ,6.4,18986,http://www.imdb.com/title/tt0086856,35,6.7,561,BuckarooBanzai跨越八次元空间大冒险,(评价人数不足),,https://movie.douban.com/subject/1301795/,1984-08-15 00:00:00,"['彼得·威勒', '美国', 'W.D. 里克特 (W.D. Richter)', '103 分钟"
Documentary Comedy Family,Chicken People  ,7.1,358,http://www.imdb.com/title/tt4819510,47,7.6,580,ChickenPeople,(评价人数不足),,https://movie.douban.com/subject/26669516/,2016-03-13(西南偏南电影节),"['2016-09-23(美国)', '美国', 'Nicole Lucas Haimes', ''"
Short Drama,Cinnamon Chasers: Luv Deluxe  ,8.9,19,http://www.imdb.com/title/tt3293194,48,6.9,586,CinnamonChasers:LuvDeluxe,(评价人数不足),,https://movie.douban.com/subject/26838199/,2009-09-12(美国),"['Darcy Ripley', '美国', 'Saman Kesh', '5分14秒', '剧情'"
Documentary,Doctor Who: Earth Conquest - The World Tour  ,8.1,92,http://www.imdb.com/title/tt4383052,35,8.9,662,DoctorWho:EarthConquest-TheWorldTour,(评价人数不足),,https://movie.douban.com/subject/26312141/,2015-01-16(英国),"['史蒂文·莫法特', '珍娜·科尔曼', '彼得·卡帕尔蒂', '英国', 'Jim Demuth"
Drama Sci-Fi Thriller,Einstein's God Model  ,5.0,346,http://www.imdb.com/title/tt1773389,73,6.7,682,Einstein'sGodModel,(评价人数不足),,https://movie.douban.com/subject/26854287/,2016-05-11(美国),"['Aaron Graham', ""Kirby O'Connell"", '肯·休斯', 'Brad "
Documentary Crime,Stolen Innocence             ,6.7,11,http://www.imdb.com/title/tt1875294,32,7.4,714,FBI：罪案追踪第二季,(评价人数不足),,https://movie.douban.com/subject/26670721/,美国,"['FBI：罪案追踪', 'FBI：罪案追踪', '纪录片', '英语']"
Adult Drama,The Grafenberg Spot  ,7.1,275,http://www.imdb.com/title/tt0089224,26,5.8,774,G点,(评价人数不足),,https://movie.douban.com/subject/2252297/,Ginger Lynn,"['Harry Reems', 'Annette Haven', '美国', 'Artie Mitc"
Crime Drama Thriller,Hacker  ,6.2,4689,http://www.imdb.com/title/tt3173594,184,5.9,777,Hacker,(评价人数不足),,https://movie.douban.com/subject/25818850/,丹尼尔·艾瑞克·高德,"['扎卡里·贝内特', 'Kristian Truelsen', '卡兰·麦克奥利菲', '加拿大 "
Documentary History,How We Got to Now             ,8.5,299,http://www.imdb.com/title/tt3106210,30,9.5,812,HowWeGottoNow,(评价人数不足),,https://movie.douban.com/subject/26148529/,Steven Johnson,"['美国', '', '纪录片']"
Short Comedy Sci-Fi,"I'm You, Dickhead  ",7.3,85,http://www.imdb.com/title/tt3614868,41,5.7,821,"I'mYou,Dickhead",(评价人数不足),,https://movie.douban.com/subject/26838198/,2014-07-31(加拿大),"['Anthony Gooley', 'Alan Flower', 'Olivia Pigeot',"
Comedy Drama Romance,In guerra per amore  ,7.1,865,http://www.imdb.com/title/tt5263116,70,7.3,839,Inguerraperamore,(评价人数不足),,https://movie.douban.com/subject/26872594/,2016-10-27(意大利),"['安德里亚·迪·斯戴法诺', 'Matthew T. Reynolds', '米莱姆·里昂', '"
Documentary,Japanology Plus             ,8.2,34,http://www.imdb.com/title/tt3814338,25,8.0,864,JapanologyPlus,(评价人数不足),,https://movie.douban.com/subject/26697703/,日本,"['28分钟', '英语']"
Documentary Comedy,Kevin Hart: I'm a Grown Little Man  ,7.8,2556,http://www.imdb.com/title/tt1420554,31,7.6,901,KevinHart:I'maGrownLittleMan(TV2009),(评价人数不足),,https://movie.douban.com/subject/5966654/,Kevin Hart,"['美国', 'Shannon Hartman', 'Kevin Hart']"
Documentary Music,Mariah's World             ,4.8,176,http://www.imdb.com/title/tt5936468,41,7.4,957,Mariah'sWorldSeason1,(评价人数不足),,https://movie.douban.com/subject/26919112/,2016-12-04 00:00:00,"['Mariah Carey', 'Monroe Cannon', 'Moroccan Cannon"
Comedy,Mike Tyson: Undisputed Truth  ,7.4,2322,http://www.imdb.com/title/tt3009336,28,7.8,969,MikeTyson:UndisputedTruthts,(评价人数不足),,https://movie.douban.com/subject/24869252/,2013-11-16 00:00:00,"['迈克·泰森', '美国', '斯派克·李', '喜剧', '纪录片']"
Comedy,Nightcap             ,5.5,187,http://www.imdb.com/title/tt5507340,31,6.8,1012,Nightcap,(评价人数不足),,https://movie.douban.com/subject/26847702/,2016-11-16 00:00:00,"['亚利桑德拉·温特沃斯', 'Lauren Blumenfeld', 'Brendan Cliff"
Comedy Romance,P to JK  ,6.3,18,http://www.imdb.com/title/tt5701132,311,6.1,1116,P与JK,(尚未上映),,https://movie.douban.com/subject/26788605/,2017-03-25(日本),"['龟梨和也', '土屋太凤', '日本', 'ptojk.jp', '广木隆一']"
Short Drama,Real Gone  ,7.9,210,http://www.imdb.com/title/tt4685226,117,6.3,1136,RealGone,(评价人数不足),,https://movie.douban.com/subject/26839532/,2015-05-14(美国),"['Paul Conrad', 'Josh Link', 'Darren Vandergriff',"
Documentary,Richard Linklater: Dream Is Destiny  ,7.2,153,http://www.imdb.com/title/tt5243796,385,8.0,1147,RichardLinklater:DreamIsDestiny,(评价人数不足),,https://movie.douban.com/subject/26681652/,理查德·林克莱特,"['美国', 'Louis Black', 'Karen Bernstein', '86分钟', '"
Documentary,Sour Grapes  ,7.3,1546,http://www.imdb.com/title/tt5728684,42,8.6,1211,SourGrapes,(评价人数不足),,https://movie.douban.com/subject/26811410/,英国,"['Reuben Atlas', 'Rothwell', '86分钟', '纪录片']"
Documentary,The Art of Scandinavia             ,8.1,39,http://www.imdb.com/title/tt5581764,33,8.1,1263,TheArtofScandinavia,(评价人数不足),,https://movie.douban.com/subject/26367570/,2016-03-14 00:00:00,"['Andrew Graham-Dixon', '英国', 'Ian Leese', '', '1 "
Documentary,The Director: An Evolution in Three Acts  ,6.1,180,http://www.imdb.com/title/tt2767266,27,6.5,1275,TheDirector:AnEvolutioninThreeActs,(评价人数不足),,https://movie.douban.com/subject/22562224/,美国,"['Christina Voros', '纪录片', '英语']"
Drama Romance War,The Exception  ,6.8,1818,http://www.imdb.com/title/tt4721124,432,6.7,1290,TheKaiser'sLastKiss,(尚未上映),,https://movie.douban.com/subject/26417545/,莉莉·詹姆斯,"['克里斯托弗·普卢默', '杰·科特尼', '埃迪·马森', '珍妮·麦克蒂尔', '本·丹尼尔斯"
Documentary,This Is an Adventure  ,6.8,56,http://www.imdb.com/title/tt0461852,66,8.9,1323,ThisIsanAdventure,(评价人数不足),,https://movie.douban.com/subject/3098288/,2005-05-10 00:00:00,"['韦斯·安德森', '比尔·默瑞', '美国', 'Antonio Ferrera', 'Albe"
,Paris             ,7.4,14,http://www.imdb.com/title/tt5430346,114,8.6,1343,TravelMan:48Hoursin...Season2,(评价人数不足),,https://movie.douban.com/subject/26722774/,2016-01-05 00:00:00,"['理查德·艾欧阿德', '克里斯·奥多德', 'Mel Giedroyc', '诺尔·费丁', '"
